id,fold
case123_day20_slice_0001,3.0
case123_day20_slice_0002,3.0
case123_day20_slice_0003,3.0
case123_day20_slice_0004,3.0
case123_day20_slice_0005,3.0
case123_day20_slice_0006,3.0
case123_day20_slice_0007,3.0
case123_day20_slice_0008,3.0
case123_day20_slice_0009,3.0
case123_day20_slice_0010,3.0
case123_day20_slice_0011,3.0
case123_day20_slice_0012,3.0
case123_day20_slice_0013,3.0
case123_day20_slice_0014,3.0
case123_day20_slice_0015,3.0
case123_day20_slice_0016,3.0
case123_day20_slice_0017,3.0
case123_day20_slice_0018,3.0
case123_day20_slice_0019,3.0
case123_day20_slice_0020,3.0
case123_day20_slice_0021,3.0
case123_day20_slice_0022,3.0
case123_day20_slice_0023,3.0
case123_day20_slice_0024,3.0
case123_day20_slice_0025,3.0
case123_day20_slice_0026,3.0
case123_day20_slice_0027,3.0
case123_day20_slice_0028,3.0
case123_day20_slice_0029,3.0
case123_day20_slice_0030,3.0
case123_day20_slice_0031,3.0
case123_day20_slice_0032,3.0
case123_day20_slice_0033,3.0
case123_day20_slice_0034,3.0
case123_day20_slice_0035,3.0
case123_day20_slice_0036,3.0
case123_day20_slice_0037,3.0
case123_day20_slice_0038,3.0
case123_day20_slice_0039,3.0
case123_day20_slice_0040,3.0
case123_day20_slice_0041,3.0
case123_day20_slice_0042,3.0
case123_day20_slice_0043,3.0
case123_day20_slice_0044,3.0
case123_day20_slice_0045,3.0
case123_day20_slice_0046,3.0
case123_day20_slice_0047,3.0
case123_day20_slice_0048,3.0
case123_day20_slice_0049,3.0
case123_day20_slice_0050,3.0
case123_day20_slice_0051,3.0
case123_day20_slice_0052,3.0
case123_day20_slice_0053,3.0
case123_day20_slice_0054,3.0
case123_day20_slice_0055,3.0
case123_day20_slice_0056,3.0
case123_day20_slice_0057,3.0
case123_day20_slice_0058,3.0
case123_day20_slice_0059,3.0
case123_day20_slice_0060,3.0
case123_day20_slice_0061,3.0
case123_day20_slice_0062,3.0
case123_day20_slice_0063,3.0
case123_day20_slice_0064,3.0
case123_day20_slice_0065,3.0
case123_day20_slice_0066,3.0
case123_day20_slice_0067,3.0
case123_day20_slice_0068,3.0
case123_day20_slice_0069,3.0
case123_day20_slice_0070,3.0
case123_day20_slice_0071,3.0
case123_day20_slice_0072,3.0
case123_day20_slice_0073,3.0
case123_day20_slice_0074,3.0
case123_day20_slice_0075,3.0
case123_day20_slice_0076,3.0
case123_day20_slice_0077,3.0
case123_day20_slice_0078,3.0
case123_day20_slice_0079,3.0
case123_day20_slice_0080,3.0
case123_day20_slice_0081,3.0
case123_day20_slice_0082,3.0
case123_day20_slice_0083,3.0
case123_day20_slice_0084,3.0
case123_day20_slice_0085,3.0
case123_day20_slice_0086,3.0
case123_day20_slice_0087,3.0
case123_day20_slice_0088,3.0
case123_day20_slice_0089,3.0
case123_day20_slice_0090,3.0
case123_day20_slice_0091,3.0
case123_day20_slice_0092,3.0
case123_day20_slice_0093,3.0
case123_day20_slice_0094,3.0
case123_day20_slice_0095,3.0
case123_day20_slice_0096,3.0
case123_day20_slice_0097,3.0
case123_day20_slice_0098,3.0
case123_day20_slice_0099,3.0
case123_day20_slice_0100,3.0
case123_day20_slice_0101,3.0
case123_day20_slice_0102,3.0
case123_day20_slice_0103,3.0
case123_day20_slice_0104,3.0
case123_day20_slice_0105,3.0
case123_day20_slice_0106,3.0
case123_day20_slice_0107,3.0
case123_day20_slice_0108,3.0
case123_day20_slice_0109,3.0
case123_day20_slice_0110,3.0
case123_day20_slice_0111,3.0
case123_day20_slice_0112,3.0
case123_day20_slice_0113,3.0
case123_day20_slice_0114,3.0
case123_day20_slice_0115,3.0
case123_day20_slice_0116,3.0
case123_day20_slice_0117,3.0
case123_day20_slice_0118,3.0
case123_day20_slice_0119,3.0
case123_day20_slice_0120,3.0
case123_day20_slice_0121,3.0
case123_day20_slice_0122,3.0
case123_day20_slice_0123,3.0
case123_day20_slice_0124,3.0
case123_day20_slice_0125,3.0
case123_day20_slice_0126,3.0
case123_day20_slice_0127,3.0
case123_day20_slice_0128,3.0
case123_day20_slice_0129,3.0
case123_day20_slice_0130,3.0
case123_day20_slice_0131,3.0
case123_day20_slice_0132,3.0
case123_day20_slice_0133,3.0
case123_day20_slice_0134,3.0
case123_day20_slice_0135,3.0
case123_day20_slice_0136,3.0
case123_day20_slice_0137,3.0
case123_day20_slice_0138,3.0
case123_day20_slice_0139,3.0
case123_day20_slice_0140,3.0
case123_day20_slice_0141,3.0
case123_day20_slice_0142,3.0
case123_day20_slice_0143,3.0
case123_day20_slice_0144,3.0
case123_day22_slice_0001,3.0
case123_day22_slice_0002,3.0
case123_day22_slice_0003,3.0
case123_day22_slice_0004,3.0
case123_day22_slice_0005,3.0
case123_day22_slice_0006,3.0
case123_day22_slice_0007,3.0
case123_day22_slice_0008,3.0
case123_day22_slice_0009,3.0
case123_day22_slice_0010,3.0
case123_day22_slice_0011,3.0
case123_day22_slice_0012,3.0
case123_day22_slice_0013,3.0
case123_day22_slice_0014,3.0
case123_day22_slice_0015,3.0
case123_day22_slice_0016,3.0
case123_day22_slice_0017,3.0
case123_day22_slice_0018,3.0
case123_day22_slice_0019,3.0
case123_day22_slice_0020,3.0
case123_day22_slice_0021,3.0
case123_day22_slice_0022,3.0
case123_day22_slice_0023,3.0
case123_day22_slice_0024,3.0
case123_day22_slice_0025,3.0
case123_day22_slice_0026,3.0
case123_day22_slice_0027,3.0
case123_day22_slice_0028,3.0
case123_day22_slice_0029,3.0
case123_day22_slice_0030,3.0
case123_day22_slice_0031,3.0
case123_day22_slice_0032,3.0
case123_day22_slice_0033,3.0
case123_day22_slice_0034,3.0
case123_day22_slice_0035,3.0
case123_day22_slice_0036,3.0
case123_day22_slice_0037,3.0
case123_day22_slice_0038,3.0
case123_day22_slice_0039,3.0
case123_day22_slice_0040,3.0
case123_day22_slice_0041,3.0
case123_day22_slice_0042,3.0
case123_day22_slice_0043,3.0
case123_day22_slice_0044,3.0
case123_day22_slice_0045,3.0
case123_day22_slice_0046,3.0
case123_day22_slice_0047,3.0
case123_day22_slice_0048,3.0
case123_day22_slice_0049,3.0
case123_day22_slice_0050,3.0
case123_day22_slice_0051,3.0
case123_day22_slice_0052,3.0
case123_day22_slice_0053,3.0
case123_day22_slice_0054,3.0
case123_day22_slice_0055,3.0
case123_day22_slice_0056,3.0
case123_day22_slice_0057,3.0
case123_day22_slice_0058,3.0
case123_day22_slice_0059,3.0
case123_day22_slice_0060,3.0
case123_day22_slice_0061,3.0
case123_day22_slice_0062,3.0
case123_day22_slice_0063,3.0
case123_day22_slice_0064,3.0
case123_day22_slice_0065,3.0
case123_day22_slice_0066,3.0
case123_day22_slice_0067,3.0
case123_day22_slice_0068,3.0
case123_day22_slice_0069,3.0
case123_day22_slice_0070,3.0
case123_day22_slice_0071,3.0
case123_day22_slice_0072,3.0
case123_day22_slice_0073,3.0
case123_day22_slice_0074,3.0
case123_day22_slice_0075,3.0
case123_day22_slice_0076,3.0
case123_day22_slice_0077,3.0
case123_day22_slice_0078,3.0
case123_day22_slice_0079,3.0
case123_day22_slice_0080,3.0
case123_day22_slice_0081,3.0
case123_day22_slice_0082,3.0
case123_day22_slice_0083,3.0
case123_day22_slice_0084,3.0
case123_day22_slice_0085,3.0
case123_day22_slice_0086,3.0
case123_day22_slice_0087,3.0
case123_day22_slice_0088,3.0
case123_day22_slice_0089,3.0
case123_day22_slice_0090,3.0
case123_day22_slice_0091,3.0
case123_day22_slice_0092,3.0
case123_day22_slice_0093,3.0
case123_day22_slice_0094,3.0
case123_day22_slice_0095,3.0
case123_day22_slice_0096,3.0
case123_day22_slice_0097,3.0
case123_day22_slice_0098,3.0
case123_day22_slice_0099,3.0
case123_day22_slice_0100,3.0
case123_day22_slice_0101,3.0
case123_day22_slice_0102,3.0
case123_day22_slice_0103,3.0
case123_day22_slice_0104,3.0
case123_day22_slice_0105,3.0
case123_day22_slice_0106,3.0
case123_day22_slice_0107,3.0
case123_day22_slice_0108,3.0
case123_day22_slice_0109,3.0
case123_day22_slice_0110,3.0
case123_day22_slice_0111,3.0
case123_day22_slice_0112,3.0
case123_day22_slice_0113,3.0
case123_day22_slice_0114,3.0
case123_day22_slice_0115,3.0
case123_day22_slice_0116,3.0
case123_day22_slice_0117,3.0
case123_day22_slice_0118,3.0
case123_day22_slice_0119,3.0
case123_day22_slice_0120,3.0
case123_day22_slice_0121,3.0
case123_day22_slice_0122,3.0
case123_day22_slice_0123,3.0
case123_day22_slice_0124,3.0
case123_day22_slice_0125,3.0
case123_day22_slice_0126,3.0
case123_day22_slice_0127,3.0
case123_day22_slice_0128,3.0
case123_day22_slice_0129,3.0
case123_day22_slice_0130,3.0
case123_day22_slice_0131,3.0
case123_day22_slice_0132,3.0
case123_day22_slice_0133,3.0
case123_day22_slice_0134,3.0
case123_day22_slice_0135,3.0
case123_day22_slice_0136,3.0
case123_day22_slice_0137,3.0
case123_day22_slice_0138,3.0
case123_day22_slice_0139,3.0
case123_day22_slice_0140,3.0
case123_day22_slice_0141,3.0
case123_day22_slice_0142,3.0
case123_day22_slice_0143,3.0
case123_day22_slice_0144,3.0
case123_day0_slice_0001,3.0
case123_day0_slice_0002,3.0
case123_day0_slice_0003,3.0
case123_day0_slice_0004,3.0
case123_day0_slice_0005,3.0
case123_day0_slice_0006,3.0
case123_day0_slice_0007,3.0
case123_day0_slice_0008,3.0
case123_day0_slice_0009,3.0
case123_day0_slice_0010,3.0
case123_day0_slice_0011,3.0
case123_day0_slice_0012,3.0
case123_day0_slice_0013,3.0
case123_day0_slice_0014,3.0
case123_day0_slice_0015,3.0
case123_day0_slice_0016,3.0
case123_day0_slice_0017,3.0
case123_day0_slice_0018,3.0
case123_day0_slice_0019,3.0
case123_day0_slice_0020,3.0
case123_day0_slice_0021,3.0
case123_day0_slice_0022,3.0
case123_day0_slice_0023,3.0
case123_day0_slice_0024,3.0
case123_day0_slice_0025,3.0
case123_day0_slice_0026,3.0
case123_day0_slice_0027,3.0
case123_day0_slice_0028,3.0
case123_day0_slice_0029,3.0
case123_day0_slice_0030,3.0
case123_day0_slice_0031,3.0
case123_day0_slice_0032,3.0
case123_day0_slice_0033,3.0
case123_day0_slice_0034,3.0
case123_day0_slice_0035,3.0
case123_day0_slice_0036,3.0
case123_day0_slice_0037,3.0
case123_day0_slice_0038,3.0
case123_day0_slice_0039,3.0
case123_day0_slice_0040,3.0
case123_day0_slice_0041,3.0
case123_day0_slice_0042,3.0
case123_day0_slice_0043,3.0
case123_day0_slice_0044,3.0
case123_day0_slice_0045,3.0
case123_day0_slice_0046,3.0
case123_day0_slice_0047,3.0
case123_day0_slice_0048,3.0
case123_day0_slice_0049,3.0
case123_day0_slice_0050,3.0
case123_day0_slice_0051,3.0
case123_day0_slice_0052,3.0
case123_day0_slice_0053,3.0
case123_day0_slice_0054,3.0
case123_day0_slice_0055,3.0
case123_day0_slice_0056,3.0
case123_day0_slice_0057,3.0
case123_day0_slice_0058,3.0
case123_day0_slice_0059,3.0
case123_day0_slice_0060,3.0
case123_day0_slice_0061,3.0
case123_day0_slice_0062,3.0
case123_day0_slice_0063,3.0
case123_day0_slice_0064,3.0
